EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
116510,1758253,REGULAR,EL CARNAVAL KITCHEN,,2607 RODMAN ST,,LOUISVILLE,KY,40208,FOOD SERVICE,2023-05-24,100,A,EL CARNAVAL KITCHEN,,10391
116638,1710704,FOLLOWUP,BIS,,,,PROSPECT,KY,40059,TEMPORARY FOODS,2022-10-01,100,,BIS,,10390
116172,1708558,REGULAR,KENTUCKY AMERICAN DAIRY ASSOCIATION,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-19,100,,KENTUCKY AMERICAN DAIRY ASSOCIATION,,10268
34736,1685165,REGULAR,HIKES POINT BAR & LOUNGE,,3937 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,FOOD SERVICE,2022-07-08,100,A,HIKES POINT BAR & LOUNGE,,817
116468,1744622,REGULAR,TROPICAL SMOOTHIE CAFE,,5023 MUD LN STE 150,,LOUISVILLE,KY,40229,FOOD SERVICE,2023-03-28,100,A,TROPICAL SMOOTHIE CAFE,,10270
116552,1734490,REGULAR,JOYFUL EATS,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2023-02-11,100,A,JOYFUL EATS,,10272
116172,1705849,REGULAR,KENTUCKY AMERICAN DAIRY ASSOCIATION,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-24,100,,KENTUCKY AMERICAN DAIRY ASSOCIATION,,10274
116584,1713018,REGULAR,EVERYBODY LOVES BACON,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2022-10-29,100,A,EVERYBODY LOVES BACON,,10276
116211,1706354,REGULAR,OUTLAW ROASTED CORN 3 LLC,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,2022-09-02,100,,OUTLAW ROASTED CORN 3 LLC,,10279
116172,1708627,REGULAR,KENTUCKY AMERICAN DAIRY ASSOCIATION,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-22,100,,KENTUCKY AMERICAN DAIRY ASSOCIATION,,10280
33317,1696224,REGULAR,LYNDON ELKS LODGE #2052,,904 ORMSBY LN,,LOUISVILLE,KY,40242,FOOD SERVICE,2022-08-23,100,A,LYNDON ELKS LODGE #2052,,786
116562,1709903,REGULAR,BORN FRESH FOOD CO #2,,,,LOUISVILLE,KY,40208,TEMPORARY FOODS,2022-09-30,100,,BORN FRESH FOOD CO #2,,10284
116214,1706327,FOLLOWUP,BIBSY JAMAICAN CATERING,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,2022-09-02,100,,BIBSY JAMAICAN CATERING,,10285
116172,1708540,REGULAR,KENTUCKY AMERICAN DAIRY ASSOCIATION,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-21,100,,KENTUCKY AMERICAN DAIRY ASSOCIATION,,10286
116481,1707409,REGULAR,SUBWAY #12182,,5469 NEW CUT RD,,LOUISVILLE,KY,40214,FOOD SERVICE,2022-10-07,100,A,SUBWAY #12182,,10287
116172,1708845,REGULAR,KENTUCKY AMERICAN DAIRY ASSOCIATION,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022-08-27,100,,KENTUCKY AMERICAN DAIRY ASSOCIATION,,10290
33257,1736235,REGULAR,ALL SPICE CAFE,,200 E CHESTNUT ST,,LOUISVILLE,KY,40202,FOOD SERVICE,2023-02-20,100,A,ALL SPICE CAFE,,775
33256,1755566,REGULAR,PAVILION CAFE,,315 E BROADWAY,,LOUISVILLE,KY,40202,FOOD SERVICE,2023-05-15,100,A,PAVILION CAFE,,773
